Key,Description,en,ko
throttleInteractable_859490,VR Interactable,Throttle,출력 스로틀
autoAdjustJoyInteractable_856740,VR Interactable,Auto Adjust Joystick,조이스틱 자동 정렬
joyParent_856842,VR Interactable,Joystick,조이스틱
dButtonBase_857788,VR Interactable,Adjust Left,왼쪽으로 조정
dButtonBase (1)_856914,VR Interactable,Adjust Right,오른쪽으로 조정
dButtonBase (2)_858724,VR Interactable,Adjust Forward,앞으로 조정
dButtonBase (3)_856684,VR Interactable,Adjust Back,뒤로 조정
dButtonBase (4)_860052,VR Interactable,Adjust Up,위로 조정
dButtonBase (5)_857762,VR Interactable,Adjust Down,아래로 조정
ToggleAdjustJoyInteractable_855938,VR Interactable,Toggle Auto Adjust,자동 조정 토글
CockpitLightsInteractable_857330,VR Interactable,Cockpit Lights,조종석 조명
BayLightsInteractable_855990,VR Interactable,Bay Lights,좌석 조명
LabelBrightnessKnob_859032,VR Interactable,Instrument Brightness,계기 밝기
LabelGlowPowerInteractable_859822,VR Interactable,Instrument Lights,계기판 조명
NavLightSwitchInteractable_857704,VR Interactable,Navigation Lights,탐색등 조명
StrobeSwitchInteractable_857192,VR Interactable,Strobe Lights,섬광등 조명
LandingLightSwitchInteractable_860068,VR Interactable,Landing Lights,착륙 조명
ejectInteractable_858246,VR Interactable,Eject,긴급 탈출
raiseSeatInter_857284,VR Interactable,Raise Seat,좌석 올리기
lowerSeatInter_856168,VR Interactable,Lower Seat,좌석 내리기
ButtonText_855888,UI Text,"Recenter
seat","좌석
 중앙
정렬"
ButtonText_855804,UI Text,Restart,재시작
ButtonText_858140,UI Text,"exit
mission","나가기
미션"
ButtonText_859092,UI Text,"Quick
save","빠른
저장"
ButtonText_857740,UI Text,Load,불러오기
ButtonText_856918,UI Text,Save,저장
helmVisorInteractable_857720,VR Interactable,Visor,바이저
helmNVGInteractable_856016,VR Interactable,NVG,야간 투시경
PendingText_857928,UI Text,in progress...,진행 중.....
CompleteText_856172,UI Text,COMPLETE,완료
MissionText_855910,UI Text,"MISSION
","임무
"
FailedText_855830,UI Text,FAILED,실패
Handle_112840,VR Interactable,Scroll,스크롤
Text_857226,UI Text,Restart Mission,임무 재시작
ReturnButton_856630,VR Interactable,Return to Main,메인으로 돌아가기
Text_859052,UI Text,Finish Mission,임무 마치기
ToggleLogButton_860176,VR Interactable,Toggle Flight Log,비행 기록 열람
Text_859844,UI Text,Show/Hide Flight Log,비행 기록 보이기/숨기기
ContinueFlightButton_858160,VR Interactable,Continue Flight,비행 계속하기
Text_857174,UI Text,Flight log,비행기
UpIcon_857052,VR Interactable,Scroll Up,위로 스크롤
DnIcon_859440,VR Interactable,Scroll Down,아래로 스크롤
BottomIcon_857190,VR Interactable,To Bottom,맨아래로
SaveToDiskText_857640,VR Interactable,Save Flight Log,비행기록 저장
completionTimeLabel_-10687514,UI Text,Completion Time:,완료 시각:
releaseLabel_859238,UI Text,RELEASE,RELEASE
AirspeedLabel_857044,UI Text,SPEED,SPEED
Label_858112,UI Text,TILT,TILT
Label_856174,UI Text,HULL,HULL
VertVelLabel_857254,UI Text,VERT,VERT
ASLText_858014,UI Text,ASL,ASL
RDRAltText_858872,UI Text,RDR,RDR
Text_857542,UI Text,[ COLLISION      WARNING ],[ COLLISION      WARNING ]
Text_859692,UI Text,[ STALL          WARNING ],[ STALL          WARNING ]
Label_857754,UI Text,HDG,HDG
HudBrakeLock_858050,UI Text,[ BRAKE LOCK],[ BRAKE LOCK]
Label_164444,HUD unit label (g-force),G,G
Label_168976,HUD unit label (mach),M,M
Label_857238,UI Text,"HVR
ALT","HVR
ALT"
Label_857834,UI Text,BRAKE,BRAKE
Text_859476,UI Text,-[ CHECK GEAR ]-,-[ CHECK GEAR ]-
Text_703132,UI Text,PULL UP!,PULL UP!
visorButtonInteractable_855374,VR Interactable,Toggle Visor,바이저 전환
nvgButtonInteractable_859612,VR Interactable,Toggle NVG,야시경 전환
HUDTintKnob_858060,VR Interactable,HUD Tint,HDU 음영
HUDSpeedUnitsButton_858304,VR Interactable,Airspeed Units,속도 단위
SpeedUnitsLabel_858142,UI Text,TODO,TODO
ClrWptButton_859478,VR Interactable,Clear Waypoint,경유지 클리어
MasterCautionInteractable_855702,VR Interactable,Clear Cautions,경고 무시
AltitudeModeInteractable_859776,VR Interactable,Toggle Altitude Mode,고도 모드 전환
headingAPButton_858104,VR Interactable,Heading Hold,방향 유지
altitudeAPButton_855514,VR Interactable,Altitude Hold,고도 유지
hoverAPButton_858476,VR Interactable,Hover Mode,호버링 모드
offAPButton_857466,VR Interactable,All AP Off,모든 오토파일럿 끄기
navAPButton_855348,VR Interactable,Navigation Mode,내비게이션 모드
hudPowerInteractable_855558,VR Interactable,HUD Power,HUD 전원
hmcsPowerInteractable_856320,VR Interactable,HMCS Power,HMCS 전원
HUDBrightKnob_855728,VR Interactable,HUD Brightness,HUD 밝기
HUDDeclutterKnob_858778,VR Interactable,HUD Declutter,HUD 간소화
leftEngineSwitchInteractable_858214,VR Interactable,Left Engine,왼쪽 엔진
coverSwitchInteractable_leftEngine_858864,VR Interactable,Switch Cover,스위치 커버
rightEngineSwitchInteractable_857464,VR Interactable,Right Engine,오른쪽 엔진
apuSwitchInteractable_855502,VR Interactable,Auxilliary Power,APU 전원
Label (1)_857692,UI Text,AV-42,AV-42
GearInteractable_856386,VR Interactable,Landing Gear,착륙용 바퀴
FlapsInteractable_855734,VR Interactable,Flaps,플랩
HookInteractable_858430,VR Interactable,Arrestor Hook,어래스팅 후크
CatHookInteractable_859182,VR Interactable,Launch Bar,런치 바
masterArmSwitchInteractable_859944,VR Interactable,Master Arm Switch,Master Arm 스위치
MasterJettisonButtonInteractable_856040,VR Interactable,Jettison,버리기
JettisonAllInteractable_860130,VR Interactable,JettisonAll,모두 버리기
JettisonEmptyInteractable_860042,VR Interactable,Jettison Empty,빈 것 버리기
ClearJettisonInteractable_856154,VR Interactable,Clear Jettison Marks,버리기 표시 클리어
Label (1)_858442,UI Text,QUICK START,QUICK START
QuickStartInteractable_857660,VR Interactable,Quickstart Engines,엔진 빠른 시동
Label (1)_860014,UI Text,QUICK FLY,QUICK FLY
QuickFlyButton_857886,VR Interactable,QuickFly,빠른 비행
Text_856940,UI Text,"VR MFCD
1.0
","VR MFCD
1.0
"
SaveToDiskText_857186,UI Text,Save to Disk,디스크에 저장
Title_856292,UI Text,"Spectator
Camera","Spectator
Camera"
AutoFOVText_857446,UI Text,AutoFOV,자동 FOV
Title_859956,UI Text,HARDPOINTS,HARDPOINTS
JettisonText_859418,UI Text,ARMED,ARMED
JettisonText_857292,UI Text,JETTISON,JETTISON
