Key,Description,en,ko
ejectInteractable_911648,VR Interactable,Eject,긴급 탈출
neckPTT_2582164,VR Interactable,Radio PTT,
ButtonText_952188,UI Text,"Recenter
seat",
ButtonText_954842,UI Text,"exit
mission",
ButtonText_915708,UI Text,"Recenter
seat","좌석
 중앙
정렬"
ButtonText_913026,UI Text,Restart,재시작
ButtonText_913894,UI Text,"exit
mission","임무
나가기"
ButtonText_913940,UI Text,"Quick
save","빠른
저장 "
ButtonText_915630,UI Text,Load,불러오기
ButtonText_913374,UI Text,Save,저장
helmVisorInteractable_913784,VR Interactable,Visor,바이저
helmNVGInteractable_916002,VR Interactable,NVG,야간 투시경
PendingText_912704,UI Text,in progress...,진행 중.....
CompleteText_915034,UI Text,COMPLETE,완료
MissionText_913392,UI Text,"MISSION
","임무
"
FailedText_916378,UI Text,FAILED,실패
Handle_395644,VR Interactable,Scroll,스크롤
Text_913356,UI Text,Restart Mission,임무 재시작
ReturnButton_915862,VR Interactable,Return to Main,메인 화면으로 돌아가기
Text_916314,UI Text,Finish Mission,임무 마치기
ToggleLogButton_915924,VR Interactable,Toggle Flight Log,비행 기록 열람
Text_915514,UI Text,Show/Hide Flight Log,비행 기록 보이기/숨기기
ContinueFlightButton_914390,VR Interactable,Continue Flight,비행 계속하기
Quickload_414134,VR Interactable,Quickload,빠른 불러오기
Text_913888,UI Text,Flight log,비행기록
UpIcon_915836,VR Interactable,Scroll Up,위로 스크롤
DnIcon_916128,VR Interactable,Scroll Down,아래로 스크롤
BottomIcon_913766,VR Interactable,To Bottom,맨 아래로
SaveToDiskText_912244,VR Interactable,Save Flight Log,비행 기록 저장
completionTimeLabel_-10687514,UI Text,Completion Time:,완료 시각:
joyInteractable_915260,VR Interactable,Joystick,조이스틱
joyAdjustInteractable_916106,VR Interactable,Adjust Joystick,조이스틱 조정
AdjLeftButton_916408,VR Interactable,Adjust Left,왼쪽으로 조정
AdjRightButton_913538,VR Interactable,Adjust Right,오른쪽으로 조정
AdjFwdButton_915546,VR Interactable,Adjust Forward,앞으로 조정
AdjBackButton_916410,VR Interactable,Adjust Back,뒤로 조정
AdjUpButton_912256,VR Interactable,Adjust Up,위로 조정
AdjDownButton_915128,VR Interactable,Adjust Down,아래로 조정
ToggleAdjustJoyInteractable_911908,VR Interactable,Toggle Auto Adjust,자동 조정 토글
Text_915188,VT Text,AUTO,AUTO
releaseLabel_912934,UI Text,RELEASE,RELEASE
loalText_299878,HUD when lock-on-after-launch AGM mode is active,LOAL,LOAL
