Key,Description,en,ko
AIM-120 Advanced Radar Missile_fullName,Full equip name of: AIM-120 Advanced Radar Missile,AIM-120 Advanced Radar Missile,AIM-120 중거리 레이더 유도 미사일
AIM-120 Advanced Radar Missile_description,Item description of: AIM-120 Advanced Radar Missile,"Radar guided medium range air to air missile.
",레이더 유도 중거리 공대공 미사일입니다.
eqSublabel_RADAR-AAM,HUD sub-label of an equip,RADAR AAM,RADAR AAM
AGM-89 Anti-ship Cruise Missile x2_fullName,Full equip name of: AGM-89 Anti-ship Cruise Missile x2,AGM-89 Anti-ship Cruise Missile x2,AGM-89 대함 순항 미사일 x2
AGM-89 Anti-ship Cruise Missile x2_description,Item description of: AGM-89 Anti-ship Cruise Missile x2,"Air-launched anti-ship cruise missile.  Equipped with waypoint following, radar target acquisition, and terminal maneuvering technology.","공중에서 발사되는 대함 순항 미사일입니다. 경유지 추적, 레이더 목표 포착 기능과 명중 직전 단계에 회피 기동하는 종말 유도 기술을 갖추고 있습니다."
eqSublabel_ANTI-SHIP-CRUISE,HUD sub-label of an equip,ANTI-SHIP CRUISE,대함 순항
asml_terminalMode,An option for anti-ship cruise missiles' flight behavior in the last (terminal) phase of guidance.,TERMINAL MODE,TERMINAL MODE
asml_noTarget,HUD label shown when the selected anti-ship missile has no target.,NO TARGET,목표 없음
asml_overRange,HUD label shown when the selected anti-ship missile has a target that is too far away.,OVER RANGE,사거리 초과
asml_inRange,HUD label shown when the selected anti-ship missile has a target that is within firing range.,IN RANGE,사거리 내
asml_path,HUD label shown when the selected anti-ship missile will follow a flight path.,PATH,경로
asml_point,HUD label shown when the selected anti-ship missile will fly to a specific target point.,POINT,지점
s_asmTmode_0,Antiship terminal guidance mode,Direct,Direct
s_asmTmode_1,Antiship terminal guidance mode,SeaSkim,SeaSkim
s_asmTmode_2,Antiship terminal guidance mode,SSEvasive,SSEvasive
s_asmTmode_3,Antiship terminal guidance mode,Popup,Popup
ASM-66LR_fullName,Full equip name of: ASM-66LR,ASM-66LR,ASM-66LR
ASM-66LR_description,Item description of: ASM-66LR,Active radar-guided surface to air missile. Equipped with first stage booster for extended range.,능동 레이더 유도 지대공 미사일입니다. 1단 부스터를 장착해 사거리를 연장했습니다.
GBU-38 Bomb x3_fullName,Full equip name of: GBU-38 Bomb x3,GBU-38 Bomb x3,GBU-38 폭탄 x3
GBU-38 Bomb x3_description,Item description of: GBU-38 Bomb x3,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,500파운드 GPS 유도 직격 폭탄입니다. Mk.82 폭탄에 유도 장치를 부착한 것입니다.
eqSublabel_GPS-BOMB,HUD sub-label of an equip,GPS BOMB,GPS 폭탄
gpsBomb_targetMode,"An option for GPS bombs' targeting mode (auto, manual, dumb)",TARGET MODE,목표 모드
gpsBomb_autoRelRate,An option for GPS bomb's automatic release rate (shortened to fit UI space).,AUTO REL RATE,자동 투하 속도
s_gbu_mode_0,Targeting mode label for GPS bomb,MANUAL,수동
s_gbu_mode_1,Targeting mode label for GPS bomb,AUTO,자동
s_gbu_mode_2,Targeting mode label for GPS bomb,DUMB,무유도
interactable_button_grip,,Grip,그립
interactable_button_trigger,,Trigger,트리거
vehicleConfig_denyBusy,Denial message for vehicle configurator,BUSY: RELOADING,재무장 중
vehicleConfig_invalidReload,Denial message for vehicle configurator,Full reload will be over budget!,전체 재무장은 예산을 초과합니다!
vehicleConfig_totalMass,,Total mass:,총 질량:
vehicleConfig_fuelKnob,,Set fuel,연료 설정
vehicleConfig_flightCost,,Flight cost:,출격 비용:
vehicleConfig_budget,,Budget:,예산:
vehicleConfig_countermeasures,,Countermeasures,기만 장비
vehicleConfig_flareLabel,,IR Flares,적외선 플레어
vehicleConfig_flareKnob,,Set flares,플레어 설정
vehicleConfig_chaffLabel,,ECM Chaff,레이더 채프
vehicleConfig_chaffKnob,,Set chaff,채프 설정
vehicleConfig_repairButton,,Repair,수리
vehicleConfig_repairButtonText,,Repair,수리
vehicleConfig_repairCostLabel,,Repair cost:,수리 비용:
vehicleConfig_equipMass,,Mass:,질량:
vehicleConfig_hardpoint,,Hardpoint,무장 장착대
vehicleConfig_none,,None,없음
vehicleConfig_saveLoad,,Save/load,저장/불러오기
vehicleConfig_backButton,Return to previous screen,Back,뒤로가기
equipConfig_noEquips,A label shown in the vehicle configurator when there are no available equipment.,No equipment.,장비 없음
equipConfig_noEquipsDescription,A more descriptive label shown when there is no equipment available.,Equipment for this hardpoint is not yet available.,이 무장 장착대에 사용할 수 있는 장비가 없습니다.
vehicleConfig_equipCost,,Cost:,비용:
vehicleConfig_count,,Count:,수량:
vehicleConfig_fuel,,FUEL,연료
