Key,Description,en,korean
AIM-120 Advanced Radar Missile_fullName,Full equip name of: AIM-120 Advanced Radar Missile,AIM-120 Advanced Radar Missile,AIM-120 첨단 레이더 미사일
AIM-120 Advanced Radar Missile_description,Item description of: AIM-120 Advanced Radar Missile,"Radar guided medium range air to air missile.
",레이더 유도 중거리 공대공 미사일 입니다.
eqSublabel_RADAR-AAM,HUD sub-label of an equip,RADAR AAM,레이더 공대공
AGM-89 Anti-ship Cruise Missile x2_fullName,Full equip name of: AGM-89 Anti-ship Cruise Missile x2,AGM-89 Anti-ship Cruise Missile x2,AGM-89 대함 순항 미사일 x2
AGM-89 Anti-ship Cruise Missile x2_description,Item description of: AGM-89 Anti-ship Cruise Missile x2,"Air-launched anti-ship cruise missile.  Equipped with waypoint following, radar target acquisition, and terminal maneuvering technology.","공중에서 발사되는 대함 순항 미사일. 경유지 추적, 레이더 목표 획득 및 종점 기동 기술을 장착하고 있습니다."
eqSublabel_ANTI-SHIP-CRUISE,HUD sub-label of an equip,ANTI-SHIP CRUISE,대함 순항
asml_terminalMode,An option for anti-ship cruise missiles' flight behavior in the last (terminal) phase of guidance.,TERMINAL MODE,종점 기동 모드
asml_noTarget,HUD label shown when the selected anti-ship missile has no target.,NO TARGET,목표 없음
asml_overRange,HUD label shown when the selected anti-ship missile has a target that is too far away.,OVER RANGE,사정거리 초과
asml_inRange,HUD label shown when the selected anti-ship missile has a target that is within firing range.,IN RANGE,사정거리 내
asml_path,HUD label shown when the selected anti-ship missile will follow a flight path.,PATH,경로
asml_point,HUD label shown when the selected anti-ship missile will fly to a specific target point.,POINT,원점
s_asmTmode_0,Antiship terminal guidance mode,Direct,직접 공격
s_asmTmode_1,Antiship terminal guidance mode,SeaSkim,해면 저고도
s_asmTmode_2,Antiship terminal guidance mode,SSEvasive,해면 저고도 회피
s_asmTmode_3,Antiship terminal guidance mode,Popup,팝업
ASM-66LR_fullName,Full equip name of: ASM-66LR,ASM-66LR,ASM-66LR
ASM-66LR_description,Item description of: ASM-66LR,Active radar-guided surface to air missile. Equipped with first stage booster for extended range.,레이더 유도 지대공 미사일 입니다. 1단계 부스터를 장착해 사거리를 늘렸습니다.
GBU-38 Bomb x3_fullName,Full equip name of: GBU-38 Bomb x3,GBU-38 Bomb x3,GBU-38 폭탄 x3
GBU-38 Bomb x3_description,Item description of: GBU-38 Bomb x3,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,500 파운드 GPS 유도 폭탄 입니다. 추가적 유도 장치가 있는 Mk.82 폭탄입니다.
eqSublabel_GPS-BOMB,HUD sub-label of an equip,GPS BOMB,GPS 폭탄
gpsBomb_targetMode,"An option for GPS bombs' targeting mode (auto, manual, dumb)",TARGET MODE,목표 모드
gpsBomb_autoRelRate,An option for GPS bomb's automatic release rate (shortened to fit UI space).,AUTO REL RATE,자동 투하 속도
